ZCTA,COUNTY,STATE,COUNTYFP
92220,Riverside County,CA,06065
92222,Imperial County,CA,06025
71259,Richland Parish,LA,22083
81201,Chaffee County,CO,08015
86001,Coconino County,AZ,04005
72764,Washington County,AR,05143
72768,Benton County,AR,05007
72769,Washington County,AR,05143
72773,Madison County,AR,05087
74078,Payne County,OK,40119
75839,Anderson County,TX,48001
81211,Chaffee County,CO,08015
72776,Madison County,AR,05087
86321,Yavapai County,AZ,04025
81639,Routt County,CO,08107
76040,Tarrant County,TX,48439
92309,San Bernardino County,CA,06071
92310,San Bernardino County,CA,06071
86305,Yavapai County,AZ,04025
86313,Yavapai County,AZ,04025
71438,Vernon Parish,LA,22115
81624,Mesa County,CO,08077
71439,Vernon Parish,LA,22115
86314,Yavapai County,AZ,04025
74426,McIntosh County,OK,40091
74427,Cherokee County,OK,40021
92313,San Bernardino County,CA,06071
81625,Moffat County,CO,08081
92314,San Bernardino County,CA,06071
86320,Coconino County,AZ,04005
74429,Wagoner County,OK,40145
92678,Orange County,CA,06059
74849,Seminole County,OK,40133
74850,Hughes County,OK,40063
92679,Orange County,CA,06059
74854,Seminole County,OK,40133
76302,Wichita County,TX,48485
76306,Wichita County,TX,48485
74857,Cleveland County,OK,40027
76308,Wichita County,TX,48485
76311,Wichita County,TX,48485
74859,Okfuskee County,OK,40107
92694,Orange County,CA,06059
76351,Archer County,TX,48009
92701,Orange County,CA,06059
76357,Clay County,TX,48077
74865,Pontotoc County,OK,40123
74867,Seminole County,OK,40133
92704,Orange County,CA,06059
76364,Wilbarger County,TX,48487
77015,Harris County,TX,48201
93552,Los Angeles County,CA,06037
77017,Harris County,TX,48201
93558,San Bernardino County,CA,06071
77022,Harris County,TX,48201
93560,Kern County,CA,06029
93563,Los Angeles County,CA,06037
93605,Fresno County,CA,06019
93606,Fresno County,CA,06019
93610,Madera County,CA,06039
93615,Tulare County,CA,06107
93616,Fresno County,CA,06019
93618,Tulare County,CA,06107
93623,Mariposa County,CA,06043
93628,Fresno County,CA,06019
93645,Madera County,CA,06039
93650,Fresno County,CA,06019
77060,Harris County,TX,48201
93702,Fresno County,CA,06019
93609,Fresno County,CA,06019
71263,West Carroll Parish,LA,22123
74081,Pawnee County,OK,40117
74082,Washington County,OK,40147
71268,Jackson Parish,LA,22049
92225,Riverside County,CA,06065
86011,Coconino County,AZ,04005
86016,Coconino County,AZ,04005
74085,Payne County,OK,40119
81220,Gunnison County,CO,08051
74103,Tulsa County,OK,40143
74430,Pittsburg County,OK,40121
76028,Johnson County,TX,48251
92316,San Bernardino County,CA,06071
86322,Yavapai County,AZ,04025
92320,Riverside County,CA,06065
81631,Eagle County,CO,08037
71446,Vernon Parish,LA,22115
71447,Rapides Parish,LA,22079
92324,San Bernardino County,CA,06071
71449,Sabine Parish,LA,22085
71452,Natchitoches Parish,LA,22069
92327,San Bernardino County,CA,06071
76035,Parker County,TX,48367
92328,Inyo County,CA,06027
71454,Grant Parish,LA,22043
92332,San Bernardino County,CA,06071
92333,San Bernardino County,CA,06071
74869,Lincoln County,OK,40081
92705,Orange County,CA,06059
92707,Orange County,CA,06059
76366,Archer County,TX,48009
74873,Pottawatomie County,OK,40125
76370,Archer County,TX,48009
92780,Orange County,CA,06059
74880,Okfuskee County,OK,40107
92782,Orange County,CA,06059
